,date,variation,Time,VADER score,favorites,weekday,date_backup
113,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.5423,3,5,2019-10-26 17:17:00
114,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.5423,13,5,2019-10-26 17:01:00
115,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,1,5,2019-10-26 16:29:00
116,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.128,12,5,2019-10-26 16:29:00
117,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,2,5,2019-10-26 16:26:00
118,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,2,5,2019-10-26 16:19:00
119,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.6369,2,5,2019-10-26 16:07:00
120,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,2,5,2019-10-26 16:06:00
121,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.2235,1,5,2019-10-26 22:43:00
122,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.8225,5,4,2019-10-25 23:24:00
123,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.743,2,4,2019-10-25 23:07:00
124,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.29600000000000004,5,4,2019-10-25 22:59:00
125,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.9766,1,4,2019-10-25 21:58:00
126,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.128,1,4,2019-10-25 21:57:00
127,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.8352,3,4,2019-10-25 21:49:00
128,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,6,4,2019-10-25 21:42:00
129,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.3182,2,4,2019-10-25 21:34:00
130,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.3612,12,4,2019-10-25 20:23:00
131,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.29600000000000004,12,4,2019-10-25 20:13:00
132,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0516,4,4,2019-10-25 20:13:00
133,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,1,4,2019-10-25 19:44:00
134,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.2382,1,4,2019-10-25 19:42:00
135,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.7351,7,4,2019-10-25 19:00:00
136,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,-0.29600000000000004,4,4,2019-10-25 18:44:00
137,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,9,4,2019-10-25 18:12:00
138,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.5267,1,4,2019-10-25 17:58:00
139,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.6249,124,4,2019-10-25 17:55:00
140,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.0,4,4,2019-10-25 17:46:00
141,2019-10-28 09:31:00,-1.0746513535685125,09:31:00,0.6808,1,4,2019-10-25 17:10:00
