date,1. open,2. high,3. low,4. close,5. volume
2019-08-13 11:09:00,3.28,3.28,3.28,3.28,210.0
2019-08-13 11:10:00,3.285,3.285,3.285,3.285,306.0
2019-08-13 11:11:00,3.2837,3.285,3.28,3.28,11620.0
2019-08-13 11:12:00,3.285,3.29,3.285,3.29,126983.0
2019-08-13 11:13:00,3.29,3.3,3.29,3.3,16700.0
2019-08-13 11:14:00,3.29,3.295,3.29,3.29,1500.0
2019-08-13 11:16:00,3.295,3.295,3.29,3.295,1200.0
2019-08-13 11:17:00,3.29,3.3,3.29,3.295,69636.0
2019-08-13 11:18:00,3.295,3.3,3.29,3.29,36096.0
2019-08-13 11:19:00,3.29,3.29,3.29,3.29,14503.0
2019-08-13 11:20:00,3.29,3.29,3.28,3.28,30120.0
2019-08-13 11:21:00,3.28,3.29,3.28,3.285,60219.0
2019-08-13 11:22:00,3.285,3.2928,3.285,3.285,124901.0
2019-08-13 11:23:00,3.28,3.28,3.28,3.28,150.0
2019-08-13 11:24:00,3.28,3.28,3.28,3.28,100.0
2019-08-13 11:25:00,3.29,3.2929,3.285,3.29,85697.0
2019-08-13 11:26:00,3.29,3.2901,3.29,3.2901,30817.0
2019-08-13 11:27:00,3.29,3.29,3.2846,3.285,5900.0
2019-08-13 11:28:00,3.29,3.29,3.285,3.29,55897.0
2019-08-13 11:29:00,3.295,3.295,3.29,3.29,4398.0
2019-08-13 11:30:00,3.29,3.29,3.285,3.285,22790.0
2019-08-13 11:31:00,3.285,3.29,3.285,3.29,2669.0
2019-08-13 11:32:00,3.285,3.2942,3.285,3.2942,37593.0
2019-08-13 11:33:00,3.3,3.3,3.3,3.3,3300.0
2019-08-13 11:34:00,3.295,3.295,3.295,3.295,300.0
2019-08-13 11:35:00,3.3,3.3,3.3,3.3,500.0
2019-08-13 11:36:00,3.3,3.305,3.295,3.3038,63368.0
2019-08-13 11:39:00,3.31,3.31,3.305,3.305,6800.0
2019-08-13 11:40:00,3.305,3.31,3.305,3.305,2200.0
