username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
planlaufterrain;2018-03-16 10:06;8;18;"Iron ore mining near Kall/Germany started with the Romans 50 BC. Double shafts probably of medieval origin. #Lidar and aerial image: @BezRegKoeln . Some pictures and more info (in German) at the #KuLaDig -database: https://www. kuladig.de/Objektansicht/ KLD-252589 … pic.twitter.com/3JK4dgGRtO";;@BezRegKoeln;#Lidar #KuLaDig;"974632983448707073";https://twitter.com/planlaufterrain/status/974632983448707073
sreemurthy59;2018-03-15 16:27;14;25;"Overheard : in our constituency, famous for Iron ore mines, congress is demanding ₹100 crores for giving party ticket.";;;;"974366401229045760";https://twitter.com/sreemurthy59/status/974366401229045760
mitchellreports;2018-03-15 13:39;16;38;". @hghgrffths : North Korea had received about 200 million dollars in foreign currency revenue from the sale of banned commodities, such as coal and iron ore . #AMR";;@hghgrffths;#AMR;"974324285765496832";https://twitter.com/mitchellreports/status/974324285765496832
RealTimeWWII;2018-03-13 19:07;47;169;"The Allied expeditionary force to Scandinavia has been cancelled; Finland's defeat means there is now no excuse to occupy Norway & Sweden to control their iron ore .";;;;"973681923007664128";https://twitter.com/RealTimeWWII/status/973681923007664128
JamiiForums;2018-03-11 03:35;27;274;"Rais Magufuli: Tanzania tuna chuma( iron ore ), kwanini tunaagiza chuma toka nje? Mimi nitawapa bure li-mlima la chuma ili mkatengeneze vyuma na mabati. Vyuma vya kutengeneza Reli tumeagiza toka nje! #JFLeo";;;#JFLeo;"972722546272501760";https://twitter.com/JamiiForums/status/972722546272501760
MyFirstCousin;2018-03-09 22:55;59;69;"Trump imposing steel tariffs on China is worse than him imposing them directly on Australia as Australian iron ore exports to China will plummet as will the price. So Turnbull patting himself on the back saying what a good job he's done negotiating with Trump is empty posturing.";;;;"972289839579021312";https://twitter.com/MyFirstCousin/status/972289839579021312
accfanto;2018-03-09 19:51;10;10;"When CP sends a reporter on Trudeau's visit to steel mills in Hamilton and Sault Ste Marie, they may wish to note that the mills use US coal and iron ore to make the steel. Algoma in the Sault, for example, buys $1 bn worth of US coal and iron ore annually.";;;;"972243548400599040";https://twitter.com/accfanto/status/972243548400599040
Scutty;2018-03-09 01:16;19;22;"Ir o n o r e Chinese steel and iron ore futures are getting hosed, tumbling to multi-month lows (via @BIAUS ) http:// businessinsider.com.au/china-steel-ir … #ausbiz pic.twitter.com/z31vyPuESc";;@BIAUS;#ausbiz;"971962836078379009";https://twitter.com/Scutty/status/971962836078379009
SandyStuthers;2018-03-09 00:47;9;21;"Iron ore miners in northern Minnesota are happy. Mines are located in St Louis county which swings Minnesota blue every election. (Think unions) If Trump turns it red, Minnesota turns red. The miners I know LOVE him. #QAnon";;;#QAnon;"971955684601458688";https://twitter.com/SandyStuthers/status/971955684601458688
sunchartist;2018-03-08 22:21;13;16;"China Iron ore -2.75% below 500 pic.twitter.com/vIhyKskHSR";;;;"971918922663407616";https://twitter.com/sunchartist/status/971918922663407616
davidshawblog;2018-03-08 10:14;8;10;"Based on the RNS update today at #ZIOC I value their half of the mine at $1.9bn?!? Driven by the rising price of Iron Ore . This is not taking into account their cost saving work as well from the update. Current Mcap: £35m Crazy rerate due here surely.";;;#ZIOC;"971735854023630849";https://twitter.com/davidshawblog/status/971735854023630849
AltonaEnergyPlc;2018-03-08 09:26;7;11;"The Robots are coming...Rio Tinto unleashes 15 driverless vehicles on its Australian iron ore mine. Impressive #ANR http://www. mining.com/rio-tinto-spee ds-driverless-fleet-expansion-australia/ …";;;#ANR;"971723710586589185";https://twitter.com/AltonaEnergyPlc/status/971723710586589185
